,NOMBREDD,NOMBREPV,NOMBREDI,CONGLOMERADO,NSELUA,UA,percentSoldProduction,percentFarmGateIncomes,percentPlantedArea,districtTimeToLimaMarket,districtTimeToProvinceCapitalOfRegion,provinceCapitalToLimaMarket,informalPriceInformation,formalPriceInformation,informalMetereologicalInformation,formalMetereologicalInformation,volumeOfDistrict,soldProduction,yield,associative,pointsOfSale,marketSize,simplifiedMarketChannelDirectedness,farmGatePricePerKg
686,CAJAMARCA,CUTERVO,CUTERVO,2569,64,7,0.9963768115942028,0.9932785660941,0.4807692307692307,1.6,0.49800000000000005,1.47,1,1,1,1,0.16949,0.275,1.5,0.0,1.05,2,2,2.9
687,CAJAMARCA,CUTERVO,CUTERVO,2569,70,8,1.0,1.0,0.7407407407407407,1.6,0.49800000000000005,1.47,1,0,1,0,0.16949,0.022,1.3,0.0,1.05,2,2,1.2
688,CAJAMARCA,CUTERVO,CUTERVO,2569,90,9,1.0,1.0,0.998185117967332,1.6,0.49800000000000005,1.47,1,0,1,0,0.16949,0.303,1.5090909090909093,0.0,1.05,2,2,0.7
689,CAJAMARCA,CUTERVO,CUTERVO,2569,118,12,0.5882352941176471,0.6474820143884892,0.3333333333333333,1.6,0.49800000000000005,1.47,1,0,1,0,0.16949,0.01,1.0,0.0,1.05,2,1,0.9
690,CAJAMARCA,CUTERVO,CUTERVO,2569,126,13,0.8,0.41593232287627774,0.4301075268817205,1.6,0.49800000000000005,1.47,1,0,1,0,0.16949,0.032,2.0,0.0,1.05,2,1,1.5
691,CAJAMARCA,HUALGAYOC,CHUGUR,3067,72,9,1.0,1.0,1.0,1.56,0.302,1.47,0,0,0,0,0.010346,0.065,1.25,0.0,0.0,2,1,1.0
692,CAJAMARCA,HUALGAYOC,CHUGUR,3074,17,2,0.9456264775413712,0.75,0.4580152671755725,1.56,0.302,1.47,1,0,0,0,0.010346,0.004,0.7,0.0,0.0,1,1,0.6
693,CAJAMARCA,HUALGAYOC,CHUGUR,3074,22,3,1.0,1.0,1.0,1.56,0.302,1.47,1,0,0,0,0.010346,0.007,0.7,0.0,0.0,2,2,0.5
694,CAJAMARCA,HUALGAYOC,CHUGUR,3074,27,4,0.6785714285714286,0.8172043010752689,0.5633802816901409,1.56,0.302,1.47,1,0,0,0,0.010346,0.019,0.6,0.0,0.0,1,2,0.6
695,CAJAMARCA,HUALGAYOC,CHUGUR,3074,37,6,1.0,1.0,1.0,1.56,0.302,1.47,1,0,0,0,0.010346,0.007,0.3571428571428571,0.0,0.0,1,1,1.65
696,CAJAMARCA,HUALGAYOC,CHUGUR,3074,89,12,1.0,1.0,1.0,1.56,0.302,1.47,0,0,0,0,0.010346,0.001,3.571428571428572e-05,0.0,0.0,1,1,0.6
697,CAJAMARCA,SAN MARCOS,PEDRO GALVEZ,4780,80,8,0.5348837209302325,0.375,0.3730407523510972,1.47,0.16499999999999998,1.47,0,0,1,0,0.0017595,0.000345,0.00024159663865546218,0.0,0.15,1,1,0.8695652173913043
698,CAJAMARCA,SAN MIGUEL,BOLIVAR,3729,30,4,0.2759678037562284,0.2709415217882141,0.09090909090909093,1.26,0.637,1.47,1,0,0,0,0.00072,0.0072,0.9,1.0,0.0,1,2,1.6666666666666667
699,CAJAMARCA,SAN MIGUEL,LLAPA,3650,11,1,1.0,1.0,0.4980079681274901,1.3,0.255,1.47,0,0,0,0,0.00207,0.0046,0.3128,0.0,0.0,1,2,1.6304347826086956
700,CAJAMARCA,SAN MIGUEL,LLAPA,3650,12,2,1.0,1.0,0.5,1.3,0.255,1.47,1,0,0,0,0.00207,0.00552,0.2944,1.0,0.0,1,2,1.6304347826086956
701,CAJAMARCA,SAN MIGUEL,LLAPA,3650,43,5,1.0,1.0,0.22123893805309736,1.3,0.255,1.47,0,0,0,0,0.00207,0.00138,0.276,0.0,0.0,1,1,1.6956521739130437
702,CAJAMARCA,SAN MIGUEL,LLAPA,3650,48,6,1.0,1.0,0.37735849056603776,1.3,0.255,1.47,0,0,0,0,0.00207,0.0092,0.92,0.0,0.0,1,2,1.4130434782608696
