,NOMBREDD,NOMBREPV,NOMBREDI,CONGLOMERADO,NSELUA,UA,percentSoldProduction,percentFarmGateIncomes,percentPlantedArea,districtTimeToLimaMarket,districtTimeToProvinceCapitalOfRegion,provinceCapitalToLimaMarket,informalPriceInformation,formalPriceInformation,informalMetereologicalInformation,formalMetereologicalInformation,volumeOfDistrict,soldProduction,yield,associative,pointsOfSale,marketSize,marketChannelDirectedness,farmGatePricePerKg
84,ANCASH,HUAYLAS,PUEBLO LIBRE,8425,32,5,1.0,1.0,0.4642857142857143,0.8300000000000001,0.153,0.6769999999999999,1,1,0,0,0.002459,0.00504,9.969230769230768e-05,0.0,0.0,1,3,0.6944444444444444
85,ANCASH,HUAYLAS,PUEBLO LIBRE,8425,55,9,0.3507917174177832,0.4651162790697674,0.2085505735140772,0.8300000000000001,0.153,0.6769999999999999,1,1,0,0,0.002459,0.00144,0.000108,0.0,0.0,1,3,0.8333333333333334
86,ANCASH,HUAYLAS,SANTA CRUZ,8338,32,5,0.3703703703703704,0.3256637168141593,0.3695652173913043,0.928,0.262,0.6769999999999999,0,0,0,0,0.02646,0.0072,0.8682352941176472,0.0,0.0,1,4,2.2222222222222223
87,ANCASH,HUAYLAS,SANTA CRUZ,8338,75,8,0.39130434782608703,0.2438271604938272,0.2,0.928,0.262,0.6769999999999999,0,0,0,0,0.02646,0.00324,1.44,0.0,0.0,1,3,0.4876543209876543
88,ANCASH,HUAYLAS,SANTA CRUZ,8338,93,10,0.6870229007633588,0.2777777777777778,0.390625,0.928,0.262,0.6769999999999999,0,0,0,0,0.02646,0.0324,0.8640000000000001,0.0,0.0,1,3,0.4166666666666667
89,ANCASH,MARISCAL LUZURIAGA,CASCA,8501,83,12,0.3469879518072289,1.0,0.0625,1.28,0.648,0.6769999999999999,0,0,0,0,0.000144,0.00144,7.2e-05,0.0,0.0,3,4,0.9722222222222222
90,ANCASH,MARISCAL LUZURIAGA,LLUMPA,8551,101,11,1.0,1.0,1.0,1.25,0.613,0.6769999999999999,0,0,0,0,0.0012,0.012,0.0001,0.0,0.0,1,1,0.6666666666666666
91,ANCASH,PALLASCA,CONCHUCOS,8097,45,5,0.5,0.297029702970297,0.4444444444444445,1.11,0.7170000000000001,0.6769999999999999,0,0,0,0,0.0019,0.003,0.4,0.0,0.0,1,1,1.0
92,ANCASH,PALLASCA,CONCHUCOS,8097,56,6,1.0,1.0,0.4545454545454545,1.11,0.7170000000000001,0.6769999999999999,0,0,0,0,0.0019,0.004,0.64,0.0,0.0,1,4,1.0
93,ANCASH,PALLASCA,CONCHUCOS,8097,80,9,0.9230769230769232,0.75,0.2380952380952381,1.11,0.7170000000000001,0.6769999999999999,0,0,0,0,0.0019,0.012,0.8,0.0,0.0,1,1,0.5
94,ANCASH,PALLASCA,SANTA ROSA,8140,109,14,1.0,1.0,1.0,0.997,0.48,0.6769999999999999,1,0,0,0,0.00018,0.0018,0.9,0.0,0.0,1,4,1.5
95,ANCASH,POMABAMBA,QUINUABAMBA,8443,76,6,0.89058039961941,1.0,0.2857142857142857,1.35,0.833,0.6769999999999999,0,0,0,0,0.005111999999999999,0.00936,0.000108,0.0,0.0,1,2,0.8333333333333334
96,ANCASH,POMABAMBA,QUINUABAMBA,8443,78,7,0.7864406779661017,0.7093933463796478,0.1923076923076923,1.35,0.833,0.6769999999999999,1,1,0,0,0.005111999999999999,0.041760000000000005,0.8640000000000001,0.0,0.0,1,3,0.6944444444444444
97,ANCASH,RECUAY,RECUAY,9443,96,10,1.0,1.0,0.5,0.637,0.058,0.6769999999999999,1,0,0,0,0.0014,0.013999999999999999,0.7,0.0,0.0,1,3,0.5
98,ANCASH,RECUAY,TICAPAMPA,9445,52,10,0.6666666666666666,0.5384615384615384,0.3333333333333333,0.625,0.065,0.6769999999999999,0,0,0,0,0.004288,0.04,0.00016,0.0,0.0,2,3,0.7
99,ANCASH,RECUAY,TICAPAMPA,9445,78,14,0.20512820512820512,0.1504424778761062,0.2631578947368421,0.625,0.065,0.6769999999999999,0,0,0,0,0.004288,0.00288,5.184e-05,0.0,0.0,1,4,1.1805555555555556
100,ANCASH,SANTA,MACATE,8276,18,3,0.5384615384615384,1.0,0.7142857142857143,0.9129999999999999,0.407,0.6769999999999999,0,0,0,0,0.00022200000000000003,0.0021,1.288,0.0,0.0,2,1,0.7142857142857143
101,ANCASH,SANTA,MACATE,8276,63,7,1.0,1.0,1.0,0.9129999999999999,0.407,0.6769999999999999,0,0,0,0,0.00022200000000000003,0.00011999999999999999,1.0434782608695652,0.0,0.0,1,4,1.5833333333333333
102,ANCASH,SIHUAS,HUAYLLABAMBA,8163,38,4,0.4410143329658214,0.425531914893617,0.3141492837396331,1.2,0.705,0.6769999999999999,0,0,0,0,0.0002,0.002,3.6e-05,0.0,0.0,1,4,1.0
103,ANCASH,SIHUAS,RAGASH,8171,19,3,0.5714285714285714,0.3076923076923077,0.625,1.13,0.647,0.6769999999999999,0,0,0,0,0.000212,0.002,0.8,0.0,0.0,1,1,1.0
104,ANCASH,SIHUAS,RAGASH,8171,49,6,0.375,0.6,0.375,1.13,0.647,0.6769999999999999,0,0,0,0,0.000212,0.00011999999999999999,1.3333333333333337,0.0,0.0,1,1,2.0
105,ANCASH,YUNGAY,MANCOS,8638,58,4,0.21840242669362994,0.5070422535211268,0.4117647058823529,0.79,0.11,0.6769999999999999,1,0,0,0,0.0055130000000000005,0.00216,0.00012342857142857142,0.0,0.0,1,3,0.8333333333333334
106,ANCASH,YUNGAY,MANCOS,8638,100,9,0.9773755656108596,0.9230769230769232,1.0,0.79,0.11,0.6769999999999999,0,0,0,0,0.0055130000000000005,0.0216,1.2096,0.0,0.0,1,4,0.5555555555555556
107,ANCASH,YUNGAY,MANCOS,8652,5,1,1.0,1.0,1.0,0.79,0.11,0.6769999999999999,0,0,0,0,0.0055130000000000005,0.00675,0.00011875,0.0,0.0,1,3,0.5333333333333333
108,ANCASH,YUNGAY,MANCOS,8652,92,12,1.0,1.0,0.28125,0.79,0.11,0.6769999999999999,1,1,0,0,0.0055130000000000005,0.00432,0.000104,0.0,0.0,1,2,0.6944444444444444
109,ANCASH,YUNGAY,MANCOS,8652,112,14,1.0,1.0,0.75,0.79,0.11,0.6769999999999999,1,1,0,0,0.0055130000000000005,0.0203,0.0001,0.0,0.0,1,3,0.7142857142857143
110,ANCASH,YUNGAY,QUILLO,8683,82,10,1.0,1.0,1.0,0.6719999999999999,0.392,0.6769999999999999,0,0,0,0,0.00133,0.0063,0.7,0.0,0.0,1,3,0.5714285714285714
111,ANCASH,YUNGAY,QUILLO,8692,92,12,0.2931937172774869,0.3304692663582287,0.3333333333333333,0.6719999999999999,0.392,0.6769999999999999,0,0,1,1,0.00133,0.006999999999999999,0.00014,0.0,0.0,1,1,0.7142857142857143
