,NOMBREDD,NOMBREPV,NOMBREDI,CONGLOMERADO,NSELUA,UA,percentSoldProduction,percentFarmGateIncomes,percentPlantedArea,districtTimeToLimaMarket,districtTimeToProvinceCapitalOfRegion,provinceCapitalToLimaMarket,informalPriceInformation,formalPriceInformation,informalMetereologicalInformation,formalMetereologicalInformation,volumeOfDistrict,soldProduction,yield,associative,pointsOfSale,marketSize,simplifiedMarketChannelDirectedness,farmGatePricePerKg
194,LA LIBERTAD,OTUZCO,CHARAT,7265,4,2,1.0,1.0,1.0,1.1,0.305,0.853,1,0,0,0,0.035732,0.10166,1.8562992125984248,0.0,0.0,1,1,1.6086956521739129
195,LA LIBERTAD,OTUZCO,CHARAT,7265,22,5,1.0,1.0,1.0,1.1,0.305,0.853,1,0,0,0,0.035732,0.138,1.955,0.0,0.0,1,1,0.6956521739130435
196,LA LIBERTAD,OTUZCO,HUARANCHAL,7274,24,2,0.9913793103448276,0.9795454545454544,0.5098039215686274,1.29,0.47,0.853,1,1,0,0,0.014570500000000002,0.13225,1.3711538461538462,0.0,0.0,1,1,3.391304347826087
197,LA LIBERTAD,OTUZCO,MACHE,7385,76,9,0.8187134502923976,0.6590627858180449,0.4342857142857143,1.0,0.2,0.853,1,1,0,0,0.0407685,0.28,1.8,0.0,0.0,1,1,0.4375
198,LA LIBERTAD,OTUZCO,OTUZCO,7218,24,4,0.9827362969356928,0.9252336448598132,0.9,0.982,0.17800000000000002,0.853,1,0,0,0,0.0978655,0.11385,1.3416666666666663,0.0,0.1,1,2,0.43478260869565216
199,LA LIBERTAD,OTUZCO,OTUZCO,7218,99,12,1.0,1.0,1.0,0.982,0.17800000000000002,0.853,1,0,0,0,0.0978655,0.1518,1.5333333333333337,0.0,0.1,1,1,0.7826086956521741
200,LA LIBERTAD,OTUZCO,OTUZCO,7245,4,1,1.0,1.0,1.0,0.982,0.17800000000000002,0.853,0,0,0,0,0.0978655,0.135,1.8005,0.0,0.1,1,1,0.5
201,LA LIBERTAD,OTUZCO,USQUIL,7328,36,6,0.9875972320853496,0.9980806142034548,0.6474820143884893,1.08,0.29,0.853,1,0,0,0,0.0300924,0.1495,1.7729166666666667,0.0,0.0,1,1,0.3478260869565217
202,LA LIBERTAD,SANCHEZ CARRION,CURGOS,7840,92,12,0.934640522875817,0.6875,0.4166666666666667,1.23,0.447,0.853,1,0,0,0,0.062091999999999994,0.16445,1.61,0.0,0.01,1,2,0.43478260869565216
203,LIMA,BARRANCA,BARRANCA,12023,2,1,0.6927281583172479,0.6804479938141091,0.3837128575395724,0.33,0.313,0.052000000000000005,1,1,0,0,1.5905,1.92,3.473855617875881,0.0,9.79,3,1,0.88
